# R(A)         E(Ha)
0.65      -1.1299047752322906
0.8      -1.1341476722233872
0.95      -1.1113394317141152
1.1      -1.0791929635915072
1.25      -1.0457831649744007
1.4      -1.0154682691531118
1.55      -0.9904763585526108
1.7      -0.9714267029717627
1.85      -0.9578329791835556
2.0      -0.9486411206967024
2.15      -0.9426777920320297
2.3      -0.9389223907402545
2.45      -0.9366052600789352
2.6      -0.9351960337828166
2.75      -0.9343489902069892
2.9      -0.9338457529323188
3.05      -0.9335506069059256
3.2      -0.933379979185252
3.35      -0.9332828445659485
3.5      -0.9332284072659003
